Gaelic settlement;Gaelic settlement
Ivernis;Ivernis
Menapia;Menapia
Nagnata;Nagnata
Eṁaın Ṁacha;Eṁaın Ṁacha
Britain settlement;Britain settlement
Camulodunom;Camulodunum
Camulodunon;Camulodunon
Roman settlement;Roman settlement
Gaul settlement;Gaul settlement
Portus Ritupis;Portus Ritupis
Noviomagus Reginorum;Noviomagus Reginorum
Isca Dumnoniorum;Isca Dumnoniorum
Verlamion;Verlamion
Verulamium;Verulamium
Calleva Atrebatum;Calleva Atrebatum
Glevum;Glevum
Ratae Corieltauvorum;Ratae Corieltauvorum
