Gaelic settlement;Asentamiento gaélico
Ivernis;Ivernis
Menapia;Menapia
Nagnata;Nagnata
Eṁaın Ṁacha;Eṁaın Ṁacha
Britain settlement;Asentamiento britano
Camulodunom;Camulodunum
Camulodunon;Camulodunon
Roman settlement;Asentamiento romano
Gaul settlement;Asentamiento galo
Portus Ritupis;Portus Ritupis
Noviomagus Reginorum;Noviomagus Reginorum
Isca Dumnoniorum;Isca Dumnoniorum
Verlamion;Verlamion
Verulamium;Verulamium
Calleva Atrebatum;Calleva Atrebatum
Glevum;Glevum
Ratae Corieltauvorum;Ratae Corieltauvorum
Manduessedum;Manduessedum
Viroconium;Viroconium
Lindum Colonia;Lindum Colonia
Eboracum;Eboracum
Aquae Sulis;Aquae Sulis
Durotrigum;Durotrigum
Venta Belgarum;Venta Belgarum
Sorviodunum;Sorviodunum
Durovernum Cantiacorum;Durovernum Cantiacorum
Londinium;Londinium
Caesaromagus ;Caesaromagus 
Venta Icenorum;Venta Icenorum
Isca Silurum;Isca Silurum
Corinium Dobunnorum;Corinium Dobunnorum
Cruachan;Cruachan
Tara;Tara
Osraige (Capital);Osraige (Capital)
Caiseal;Caiseal
Germanic settlement;Asentamiento germánico
Alauna Carvetiorum;Alauna Carvetiorum
Isurium;Isurium
Caer Ligualid;Caer Ligualid
Caer Baddan;Caer Baddan
Petuaria Parisorum;Petuaria Parisorum
Caer Petuar;Caer Petuar
Garth Madryn;Garth Madryn
Segontium;Segontium
Caernarfon;Caernarfon
Cair Segeint;Cair Segeint
Caer Lind Colun;Caer Lind Colun
Duroliponte;Duroliponte
Cair Grauth;Cair Grauth
Durovernum;Durovernum
Cantwarabyrig;Cantwarabyrig
Tamium;Tamium
Caer Teim;Caer Teim
Maridunum;Maridunum
Caer Merddyn;Caer Merddyn
Deva Victrix;Deva Victrix
Caer Legion;Caer Legion
Chichester;Chichester
Caer Ceri;Caer Ceri
Caer Colun;Caer Colun
Danum;Danum
Caer Daun;Caer Daun
Loidis;Loidis
Caer Durnac;Caer Durnac
Caer Draitou;Caer Draitou
Vinovia;Vinovia
Cataractonium;Cataractonium
Caer Uisc;Caer Uisc
Caer Glout;Caer Glout
Magnae Dobunnorum;Magnae Dobunnorum
Caer Fawydd;Caer Fawydd
Caer Lerion;Caer Lerion
Letocetum;Letocetum
Caer Luit coyt;Caer Luit coyt
Caer Londein;Caer Londein
Mamucium;Mamucium
Caer Maunguid;Caer Maunguid
Caer Guin Truis;Caer Guin Truis
Caer Sallwg;Caer Sallwg
Caer Guricon;Caer Guricon
Caer Celemion;Caer Celemion
Caer Municep;Caer Municep
Caer Guent;Caer Guent
Vertis;Vertis
Caer Guiragon;Caer Guiragon
Caer Ebrauc;Caer Ebrauc
Yamato;Yamato
Ainu settlement;Asentamiento ainu
Japanese assentament;Asentamiento japonés
